編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
3-9,別儕,pe saˋ ,別人,這毋係你个專長，換別儕做啦！,這不是你的專長，換別人做吧！,,代詞,,3代詞
4-1,揞弇（揞揜）,emˇ kem^ (emˇ kebˊ),隱瞞、藏匿,事情得佢揞弇，攏無人知。,事情被他隱瞞，都沒人知道。,,動詞,,4外在活動與動作
4-2,拗,au^ ,摘取、折斷；折彎,"去山底拗竹筍。
拗手枝。","去山上摘竹筍。
比腕力。",,動詞,,4外在活動與動作
4-3,拔,badˋ ,披掛,拔衫褲、面帕拔个,披掛衣服、毛巾披著,,動詞,,4外在活動與動作
4-4,擘,baˊ ,剝開；張開（眼、嘴）,"無睡飽，目珠擘毋會開。
拁柑子擘開","沒睡飽，眼睛睜不開。
把橘子剝開來",,動詞,,4外在活動與動作
4-5,擘嘴,baˊ zhe^ ,打哈欠,𠊎下晝無歇睏，這下精神無好，直直擘嘴。,我下午沒休息，現在精神不好，一直打哈欠。,,動詞,,4外在活動與動作
4-6,扳,banˇ ,扶,"扳着這，較穩。
你即愛扳好勢來。","扶著這個，比較穩。
你可要扶好。",,動詞,,4外在活動與動作
4-7,挷,bangˇ ,拔,去田底挷菜頭,去田裡拔蘿蔔,,動詞,,4外在活動與動作
4-8,逼,bedˊ ,逼,佢得債務逼到無路好行,他被債務逼到走投無路,,動詞,,4外在活動與動作
4-9,凴,pen,（身體）靠著,凴个睡，會較好睡。,靠著睡，會比較好睡。,,動詞,,4外在活動與動作
4-10,傱,zongˋ ,疾奔、猛衝,阿弟真牛獗，輒輒對樓梯傱落來。,弟弟很頑皮，常常從樓梯衝下來。,,動詞,,4外在活動與動作
4-11,搧,shen^ ,以手掌橫向拍打,佢烏白講事，得阿依搧嘴䫌。,他亂講話，被媽媽搧嘴角。,,動詞,,4外在活動與動作
4-12,揙,been^ ,翻；翻找,"佢尋毋會着身分證，在間底直直揙。
你在揙麼个物件？","他找不到身分證，在房間裡一直翻找。
你在翻找什麼東西？",,動詞,,4外在活動與動作
4-13,保養,boo^ rhiong^ ,保養,"佢拁車牽去保養。
身體保養好，哪位攏會用去。","他把車子牽去保養。
身體保養好，哪裡都可以去。",,動詞,,4外在活動與動作
4-14,㗘,bogˋ ,吸的動作（用於抽菸）,薰毋係好物件，少㗘兜。,菸不是好東西，少抽一點。,,動詞,,4外在活動與動作
4-15,㗘薰,bogˋ funˇ ,抽菸（吸菸）,毋好直直㗘薰，對肺無好。,不要一直抽菸，對肺不好。,,動詞,,4外在活動與動作
4-16,剝,booˊ ,剝,時鐘剝落來鬥電藥。,時鐘拿下來裝電池。,,動詞,,4外在活動與動作
4-17,傍,bong^ ,配食,桌崠除了醃瓜，無麼个菜好傍。,桌上除了醃瓜，沒什麼菜好配。,,動詞,,4外在活動與動作
4-18,傍飯,bong^ pon ,配飯吃,這傍飯食，會用扒三碗飯。,這配飯吃，可以扒三碗飯。,,動詞,,4外在活動與動作
4-19,布置,bu^ zhi^ ,布置,布置教室,布置教室,,動詞,,4外在活動與動作
4-20,查,caˋ ,查詢、調查,"毋會个字，會用自家查字典。
這案查恁久猶係查毋會出來。","不會的字，可以自己查字典。
這案件調查那麼久還是查不出來。",,動詞,,4外在活動與動作
4-21,抹,madˊ ,擦、塗抹,抹粉化妝,抹粉化妝,,動詞,,4外在活動與動作
4-22,採,cai^ ,採,採茶,採茶,,動詞,,4外在活動與動作
4-23,剷,can^ ,以工具割除或削平,擎钁頭剷草,拿鋤頭除草,,動詞,,4外在活動與動作
4-24,噍,cioo,咀嚼,"豬腸韌韌，噍毋得綿。
自少年即噍檳榔，這下牙齒壞淨淨啊！","豬腸有嚼勁，嚼不爛。
從年輕就嚼檳榔，現在牙齒壞光光了。",,動詞,,4外在活動與動作
4-25,飼,cu/ci ,餵食,食飯猶愛逼人飼，真見笑。,吃飯還要要求別人餵，真丟臉。,,動詞,,4外在活動與動作
4-26,試,chi^ ,試,你會用試食䀴望啊，無定著真好食。,你可以試吃看看啊，說不定很好吃。,,動詞,,4外在活動與動作
4-27,試䀴望,chi^ ngiang^ mong,試試看、嘗試,"無你即試䀴望啊！
頭前有吊橋，你試䀴望䀴敢行無？","不然你就試試看啊！
前面有吊橋，你試試看看敢過嗎？",,動詞,,4外在活動與動作
4-28,飼飯,cu/ci pon ,餵飯,飼飯得阿妹食,餵飯給妹妹吃,,動詞,,4外在活動與動作
4-29,自盡,cu cin,自殺,自盡係無法度解決問題个。,自殺是沒辦法解決問題的。,,動詞,,4外在活動與動作
4-30,試著,chi^ zhooˊ ,試穿,這身衫褲真好䀴，你會用試著䀴望啊！,這套衣服很好看，你可以試穿看看啊！,,動詞,,4外在活動與動作
4-31,處理,chi^ li^ ,處理,當在遐處理啊！擱等五分鐘即好。,正在處理了！再等五分鐘就好。,,動詞,,4外在活動與動作
4-32,抽,chiuˇ ,抽,"抽籤
抽水","抽籤
抽水",,動詞,,4外在活動與動作
4-33,打水,da^ fi^ ,取水、汲水,阿媽去井脣打水。,祖母去井邊汲水。,,動詞,,4外在活動與動作
4-34,打壞,da^ fai ,破壞,打壞規矩,破壞規矩,,動詞,,4外在活動與動作
4-35,打孔翹,da^ kong^ kioo^ ,因不平穩而傾倒,你愛坐好，正毋會打孔翹。,你要坐好，才不會倒下來。,,動詞,,4外在活動與動作
4-36,釘,denˇ ,釘,提釘書機釘起來,拿釘書機釘起來,,動詞,,4外在活動與動作
4-37,貼,dabˊ ,黏貼,壁崠貼着一張停水通知。,牆壁上貼著一張停水通知。,,動詞,,4外在活動與動作
4-38,扚,diagˋ ,點著；彈,電火扚著來,把電燈打開,,動詞,,4外在活動與動作
4-39,吊,deeu^ ,吊、懸掛,鎖匙吊在壁崠，自家提來用。,鑰匙掛在牆壁上，自己拿來用。,,動詞,,4外在活動與動作
4-40,倒退,doo^ toi^ ,向後退、反轉之意,時間毋會倒退，事情過去即算啊。,時間不會倒退，事情過了就算了。,,動詞,,4外在活動與動作
4-41,倒,doo^ ,傾倒,"今日輪着你倒垃圾。
拁這倒到汁桶。","今天輪到你倒垃圾。
把這倒到餿水桶。",,動詞,,4外在活動與動作
4-42,剁,dogˋ ,剁,"剁樵
剁雞盤","砍柴
剁白斬雞切盤",,動詞,,4外在活動與動作
4-43,對半,doi^ ban^ ,從中分一半,對半破,從中剖一半,,副詞,,4外在活動與動作
4-44,追求,duiˇ kiuˋ ,追求,佢一世人攏在追求榮華富貴,他一輩子都在追求榮華富貴。,,動詞,,4外在活動與動作
4-45,歇腳,hiedˊ giooˊ ,駐足,頭前在迎神，人歇腳來䀴一下。,前面在迎神，我們駐足看一會兒。,,動詞,,4外在活動與動作
4-46,揰,dung ,戳、頂,揰一個空,戳一個洞,,動詞,,4外在活動與動作
4-47,化妝,fa^ zongˇ ,化妝,佢逐日攏愛化妝。,她每天都要化妝,,動詞,,4外在活動與動作
4-48,發出,fadˊ chidˊ ,發出,這擺運動會攏總發出600張邀請函。 ,這次運動會總共發出600張邀請函。,,動詞,,4外在活動與動作
4-49,服務,fu bbu ,服務,"做店員，對人客服務愛周到。
拁人服務","身為店員，對客人服務要周到。
替人服務",,動詞,,4外在活動與動作
4-50,鋸,gi^ ,鋸,鋸樹,鋸樹,,動詞,,4外在活動與動作
4-51,記載,gi^ zai^ ,記載,"歷史个記載
記載重要个事件","歷史的記載
記載重要的事件",,動詞,,4外在活動與動作
4-52,夾,giabˋ ,夾,手得門夾着,手被門夾到,,動詞,,4外在活動與動作
4-53,檢查,giam^ zaˇ ,檢查,"愛詳細檢查
做健康檢查","要詳細檢查
做健康檢查",,動詞,,4外在活動與動作
4-54,解決,goi^ guadˊ ,解決,"這問題哪時會解決？
敢有解決个辦法？","這問題何時會解決？
有什麼解決的方法嗎？",,動詞,,4外在活動與動作
4-55,解說,goi^ shedˊ ,說明,請先生解說一下。,請老師說明一下。,,動詞,,4外在活動與動作
4-56,解釋,goi^ shidˊ ,解釋,會用解釋得𠊎聽無？,可以解釋給我聽嗎？,,動詞,,4外在活動與動作
4-57,繫,gidˋ ,綁,褲帶愛繫緪。,腰帶要繫緊。,,動詞,,4外在活動與動作
4-58,戒,goi^ ,戒、禁絕,"阿爸決定討戒酒。
食薰對身體毋好，愛戒莫！","爸爸決定要戒酒。
抽菸對身體不好，要戒掉！",,動詞,,4外在活動與動作
4-59,擇食,too shiedˋ ,挑食,這個細子真擇食。,這小孩很挑食。,,動詞,,4外在活動與動作
4-60,唧,zidˊ ,蟲鳴鳥叫,蟬在樹崠唧。,蟬在樹上叫。,,動詞,,4外在活動與動作
4-61,唩,bboo^ ,哭泣,講佢兩句即唩，真見笑。,講他兩句就哭，真是丟臉。,,動詞,,4外在活動與動作
4-62,警告,gin^ goo^ ,警告,佢上課直直偷食糖，得先生警告幾下擺。,他上課一直偷吃糖果，被老師警告好幾次。,,動詞,,4外在活動與動作
4-63,救,giu^ ,救,救生員跳落海底救一個沉水个細子。,救生員跳進海裡救了一個溺水的小孩。,,動詞,,4外在活動與動作
4-64,捎來捎去,sauˇ loiˋ sauˇ kui^ ,追來追去,佢人在巷底捎來捎去，無注意嗄碰着人。,他們在巷子裡追來追去，不小心就撞到人。,,動詞,,4外在活動與動作
4-65,弓緪,giungˇ  anˋ ,繃緊、拉緊,拁索弓緪兜，正毋會鬆開。,把繩子繃緊一點，才不會鬆開。,,動詞,,4外在活動與動作
4-66,膏,gooˋ ,塗抹,膏藥,塗藥膏,,動詞,,4外在活動與動作
4-67,改,goi^ ,修改；批改,"這寫毋著，較緊改過。
先生逐日愛改真多作業簿。","這寫錯，快點修改。
老師每天要批改很多作業簿。",,動詞,,4外在活動與動作
4-68,觀察,guanˇ cadˊ ,觀察,先生講佢个病猶愛擱觀察。,醫生說他的病還要再觀察。,,動詞,,4外在活動與動作
4-69,晃,hainn^ ,搖晃、擺動,"吊燈得風吹到晃啊晃。
細子行路晃啊晃。","吊燈被風吹得搖搖晃晃。
小孩走路搖搖晃晃。",,動詞,,4外在活動與動作
4-70,合,habˋ ,關閉；合攏,"佢笑到嘴攏合毋會偎。
討考試啊拁書合起來。","他笑到合不攏嘴。
要考試了把書合起來。",,動詞,,4外在活動與動作
4-71,掀,hienˇ ,掀開,大家拁書掀到下一頁,大家把書翻到下一頁,,動詞,,4外在活動與動作
4-72,學會,hoo bbue ,學會,先生教个，你學會啊吂？,老師教的，你學會了沒？,,名詞,,4外在活動與動作
4-73,扡,bbia^ ,抓；把（量詞）,"無洗手即扡來食，真屙糟。
一扡米。","沒洗手就抓來吃，真是髒。
一把米。",,動詞,數/量詞,4外在活動與動作
4-74,擛手,rheedˋ shiu^ ,招手,遠遠即䀴着佢擛手。,遠遠就看到他招手。,,動詞,,4外在活動與動作
4-75,𢲴,bbe,撒,𢲴石灰,撒石灰,,動詞,,4外在活動與動作
4-76,閹,iamˇ/rhiamˇ,閹割,閹雞,閹割雄雞,,動詞,,4外在活動與動作
4-77,鹽生,rhiamˋ sangˇ ,醃漬,竻瓜鹽生脆脆足好食。,小黃瓜醃得脆脆的很好吃。,,動詞,,4外在活動與動作
4-78,影着,rhiang^ choo,無意中看到,頭下有影着一個人行過去。,剛才無意中有看到一個人走過去。,,動詞,,4外在活動與動作
4-79,搖,rhiooˋ ,擺動、晃動,"吊橋恁搖，感覺真得人驚。
𠊎个牙齒搖搖，驚係討㪐去啊！","吊橋晃動得這麼厲害，覺得很可怕。
我的牙齒搖搖的，恐怕是要掉牙了！",,動詞,,4外在活動與動作
4-80,偎去,bba^ kui^,接近,瓦斯爐面上燸着滾水，毋好得細子偎去。,瓦斯爐上燒著開水，不要讓小孩子接近。,,動詞,,4外在活動與動作
4-81,接觸,ziabˊ chuˊ ,接觸,大家愛多接觸大自然。,大家要多接觸大自然。,,動詞,,4外在活動與動作
4-82,搵,bbun^ ,沾,搵豆油,沾醬油,,動詞,,4外在活動與動作
4-83,揤,zidˊ ,用手指或棍棒等擠壓,揤覆菜。,擠裝福菜。,,動詞,,4外在活動與動作
4-84,剪,zien^ ,剪,"剪開來
剪頭那毛","剪開來
剪頭髮",,動詞,,4外在活動與動作
4-85,唚,zimˇ ,親；吻,"唚嘴
相唚","親嘴
互相親吻",,動詞,,4外在活動與動作
4-86,刻,kadˊ ,雕刻,刻樹,雕刻木頭,,動詞,,4外在活動與動作
4-87,揢,ka,緊握、抓緊,揢拳頭嫲。,握緊拳頭。,,動詞,數/量詞,4外在活動與動作
4-88,烤（烘）,koo^ (hangˇ) ,烤,烤肉,烤肉,,動詞,,4外在活動與動作
4-89,擎走（擎去）,kiaˋ zeu^ (kiaˋ kui^) ,拿走,𠊎个掃把囥在這，麼儕拁𠊎擎走啊？,我的掃把放在這，誰給我拿走了？,,動詞,,4外在活動與動作
4-90,跋,baˊ ,攀爬,"跋崎
跋起去，擱十分鐘即到啊。","爬坡
往上攀登，再十分鐘就到了。",,動詞,,4外在活動與動作
4-91,箍,keuˇ ,圈起來；圓狀物，如一塊錢稱一箍,"讀書愛拁重點箍起來，正較會記得。
桶箍
五百箍","讀書要把重點圈起來，才會比較記得住。
桶子外圍的鐵圈
五百元",,動詞,數/量詞,4外在活動與動作
4-92,抑,edˊ ,按、手用力向下擠壓,"大力抑。
佢个手直直流血，你拁佢抑个。","大力按。
他的手一直出血，你幫他按住。",,動詞,,4外在活動與動作
4-93,捆,kun^ ,捆,樵無捆好，愛仰子擎？,柴沒捆好，要怎樣拿？,,動詞,,4外在活動與動作
4-94,掇,dodˊ ,搬、抱,"掇一粒大石頭來矺鹹菜
掇肥料、掇毋會贏","搬一顆大石頭來壓鹹菜
搬肥料、搬不動",,動詞,,4外在活動與動作
4-95,撏,lemˋ ,掏取,𠊎在衫袋底撏着兩百銀。,我在衣服口袋裡掏到兩百元。,,動詞,,4外在活動與動作
4-96,尞涼,leeu liongˋ ,乘涼,熱天時務，真多老儕在伯公下尞涼。,夏天時，很多老人家在土地公廟旁乘涼。,,動詞,,4外在活動與動作
4-97,鐐,leeuˇ ,炒、翻；鏟起,差不多啊，拁菜鐐起來。,差不多了，把菜鏟起來。,,動詞,,4外在活動與動作
4-98,捩,lidˊ ,旋轉、轉動,"捩一輪
捩轉來","轉一圈
轉過來",,動詞,,4外在活動與動作
4-99,輪輪轉,linˇ linˇ zheen^ ,團團轉,無閒到輪輪轉,忙得團團轉,,動詞,,4外在活動與動作
4-100,哯,nun^ ,吐出來,樹乳糖哯到衛生紙面上，正包起來擊莫。,口香糖吐到衛生紙上，再包起來丟掉。,,動詞,,4外在活動與動作
4-101,沃,bbuˊ ,淋、澆,去菜園沃菜,去菜園澆菜,,動詞,,4外在活動與動作
4-102,攪,gioo,摻入、混勻,食米篩目攪糖水，真合嘴。,吃米苔目摻糖水，很對味。,,動詞,,4外在活動與動作
4-103,落嘴,loo zhe^ ,入嘴,嬰仔提着麼个攏落嘴。,嬰兒拿到什麼都往嘴裡放。,,動詞,,4外在活動與動作
4-104,捋食,looˊ shiedˋ ,覓食；後引申為討生活,無頭路愛仰子捋食。,沒有工作要怎麼討生活。,,動詞,,4外在活動與動作
4-105,鑪,lu^ ,摩擦,"鑪溜皮
好好一雙鞋，鑪到疤疤。","擦破皮
好好一雙鞋，摩擦到都是疤痕。",,動詞,,4外在活動與動作
4-106,罅,la,攪動,"罅糖水
罅杯牛乳食","攪動糖水
泡杯牛奶喝",,動詞,,4外在活動與動作
4-107,抹,madˊ ,塗,抹平來,塗平,,動詞,,4外在活動與動作
4-108,埋,miˋ ,埋,埋起來,埋起來,,動詞,,4外在活動與動作
4-109,舞,bbu^ ,弄,"若係講毋會曉，即毋好亂舞。
好好一個尪仔，得佢舞到壞壞。","如果不會，就不要亂弄。
好好一個人偶，被他弄壞。",,動詞,,4外在活動與動作
4-110,舞到,bbu^ doo^ ,弄得、弄到,衫褲舞到屙屙糟糟。,衣服弄得髒兮兮的。,,動詞,,4外在活動與動作
4-111,蹬,dem,踩踏,無細義蹬着人，愛會失禮。,不小心踩到別人，要道歉。,,動詞,,4外在活動與動作
4-112,捏,needˊ ,捏,"捏嘴䫌
捏人真疾","捏嘴角
捏人很痛",,動詞,,4外在活動與動作
4-113,撓,niuˇ ,搔癢,"毋好直直撓人。
阿依腳底毋驚撓。","不要一直搔別人癢。
媽媽腳底板不怕癢。",,動詞,,4外在活動與動作
4-114,咬,ngauˇ ,咬,這梨得老鼠咬一口。,這梨子被老鼠咬一口。,,動詞,,4外在活動與動作
4-115,念,neem ,叨念；誦讀,"阿姊半夜正轉，阿依念毋會煞。
念三字經。","姊姊半夜才回家，媽媽叨念不停。
朗讀三字經。",,動詞,,4外在活動與動作
4-116,入,ngibˋ ,入；裝入,"無抸鎖匙，毋得入門。
菜頭脯炙燥啊，愛入到玻璃盎內底保存。","沒帶鑰匙，進不了門。
蘿蔔乾晒乾了，要裝進玻璃瓶裡保存。",,動詞,,4外在活動與動作
4-117,挼,rhueˋ ,搓揉,"挼到皺皺
挼爛去","搓揉到皺皺的
揉爛了",,動詞,,4外在活動與動作
4-118,挼,nuˋ ,搓捏；藉著他物摩擦，使物品光滑或銳利,挼刀,磨刀,,動詞,,4外在活動與動作
4-119,蠕蠕動,nuˊ nuˊ tungˇ ,蠕動,阿弟坐毋會核，直直蠕蠕動。,弟弟坐不住，一直蠕動。,,動詞,,4外在活動與動作
4-120,弄,nung,把玩,弄細子,逗弄小孩子,,名詞,動詞,4外在活動與動作
4-121,安,onˇ ,安裝；設置；定名,"安冷氣
安名","安裝冷氣
取名字",,動詞,,4外在活動與動作
4-122,安排,onˇ peˋ ,安排,安排到真妥當,安排得很妥當,,動詞,,4外在活動與動作
4-123,划,paˋ ,划、撥進來,划龍船,划龍船,,動詞,,4外在活動與動作
4-124,拔,padˋ ,輕輕拍打,"天氣恁好，被提去外頭拔拔个。
拔泥粉。
在蚊幮內底拔蚊。","天氣那麼好，棉被拿去外面拍一拍。
拍灰塵。
在蚊帳裡打蚊子。",,動詞,,4外在活動與動作
4-125,撥,padˋ ,搧,緊來鬥撥火,快來幫忙搧火,,動詞,,4外在活動與動作
4-126,潑水,padˊ fi^ ,將水潑出去,潑水潑到泥下面上,潑水潑到地板上,,動詞,,4外在活動與動作
4-127,剾,kauˇ ,刨,"剾菜頭皮、剾薍薺
剾樹枋","刨蘿蔔皮、刨菜瓜
刨木板",,動詞,,4外在活動與動作
4-128,破,poo^ ,剖分,"西瓜對半破
破樵","西瓜對半剖分
對半砍木柴",,動詞,,4外在活動與動作
4-129,挵門,long^ munˋ ,用力敲門,麼儕在遐挵門？,誰在那裡用力敲門？,,動詞,,4外在活動與動作
4-130,撒,sadˊ ,撒,撒兜仔鹽。,撒一點鹽。,,動詞,,4外在活動與動作
4-131,徙位,sai^ bbi,搬遷,"徙位走
貓藪徙位","搬走
母貓生小貓後，若是發現環境對小貓有危險就馬上將小貓銜至較安全處；用以比喻一個人在生活或工作上不甚穩定，常有調動。",,動詞,,4外在活動與動作
4-132,閃,shiam^/shamˆ,閃、躲避、避讓,"閃開
相閃車","閃開
會車",,動詞,,4外在活動與動作
4-133,洗,se^ ,清洗,成擺真多人用圳溝水洗物件。,從前很多人用圳溝水清洗東西。,,動詞,,4外在活動與動作
4-134,㐁,leebˊ ,舔,㐁淨來,舔乾淨,,動詞,,4外在活動與動作
4-135,食毒,shiedˋ tu,吸毒,好个毋學，學人食毒！,好的不學，學別人吸毒！,,動詞,,4外在活動與動作
4-136,傷害,shongˇ hoi,傷害,這件事對佢傷害真大。,這件事對他傷害很大。,,動詞,,4外在活動與動作
4-137,𢱤,suˊ ,用手推,"𢱤車。
佢真無責任，輒輒拁事𢱤得別儕做。","推車子
他很沒責任感，常常把工作推給別人做。",,動詞,,4外在活動與動作
4-138,蹬,dem,踏,"得人蹬着，真疾。
蹬上蹬下","被人踩到，很痛。
踏上踏下",,動詞,,4外在活動與動作
4-139,探,tam^ ,探,先去探䀴望啊！,先去探聽看看,,動詞,,4外在活動與動作
4-140,毒,teu,以毒藥毒殺人或動物,毒老鼠,毒殺老鼠,,動詞,,4外在活動與動作
